Personagem,Localizacao,Filme / Livro,Adjetivo / Característica,Frase
"Espião","Coliseu de Roma em dia de combate","Os Banshees de Inisherin","Fazendo pausa dramática a cada frase","Eu virei uma estátua de cera por dez segundos!"
"Agente secreto","Arena de gladiadores em Roma","Drive My Car","Com gargalhada alta e escandalosa","O unicórnio do estacionamento tá ocupando duas vagas."
"Vigilante","Partenon na Grécia Antiga","Parasita","Piscando um olho só sem querer","A minha sombra foi embora e me deixou sozinho."
"Técnico de TV","Muralha da China sob ataque","Roma","Que não aguenta ver poeira","Eu descobri que o sol é uma lâmpada gigante de LED."
"Entregador de gás","Taj Mahal ao pôr do sol","Green Book: O Guia","Que quer arrumar a roupa dos outros","O alquimista transformou o meu carro em plástico!"
"Vendedor de pamonha","Estátua da Liberdade dentro da tocha","A Forma da Água","Com hábito de estalar o pescoço","A bruxa do condomínio rogou uma praga no elevador."
"Vendedor de churros","Torre Eiffel no topo da antena","Moonlight: Sob a Luz do Luar","Sempre oferecendo conselho não solicitado","Eu viajei pra outra dimensão e voltei de pantufa."
"Vampiro","Big Ben dentro das engrenagens do relógio","La La Land: Cantando Estações","Sempre olhando no relógio","O robô da cozinha tá exigindo direitos trabalhistas."
"Fantasma","Canais de Veneza em um passeio de gôndola","Spotlight: Segredos Revelados","Perguntando o significado de tudo","A múmia do museu se levantou pra pedir água."
"Alienígena","Catedral de Notre Dame no campanário do Corcunda","Birdman","Segurando o riso com a mão na boca","Eu encontrei um ovni caído no meio da horta."
"Super-herói","Palácio de Versalhes no Salão dos Espelhos","12 Anos de Escravidão","Imitando o sotaque de quem fala","A minha mente tá conectada na rádio FM local."
"Robô","Kremlin em Moscou na neve","Argo","Olhando pros lados com desconfiança","O ciclope da rua de baixo tá precisando de colírio."
"Monstro","Casa Branca no Salão Oval","O Artista","Sempre checando o bolso","A fonte dos desejos tá devolvendo as moedas."
"Zumbi","Pentágono na sala de inteligência","O Discurso do Rei","Ajustando o óculos a cada fala","Eu fui picado por uma aranha radioativa de mentira."
"Lutador de sumô","Área 51 no galpão dos alienígenas","Guerra ao Terror","Dando risadinha no final de cada frase","O feitiço do amor deu errado e o cachorro me ama."
"ET","CERN no Acelerador de Partículas","Quem Quer Ser um Milionário?","Dizendo que já sabia de tudo","A nave espacial tá pousando no teto do supermercado."
"Papai Noel","Nasa na sala de lançamento de foguetes","Onde os Fracos Não Têm Vez","Tentando adivinhar o final das frases dos outros","Eu conversei com o meu eu do futuro e ele tá falido."
"Sereia","Vale do Silício na garagem da primeira Apple","Os Infiltrados","Acreditando em qualquer mentira contada","O elfo da floresta tá cobrando pedágio na calçada."
"Cozinheiro","Hollywood na calçada da fama","Crash: No Limite","Fazendo sinal de joia pra tudo","A minha planta carnívora tá pedindo cafuné."
"Duende","Las Vegas na avenida dos cassinos à noite","Menina de Ouro","Sempre oferecendo ajuda desajeitada","Eu caí num looping temporal e tô repetindo essa frase."
"Gnomo","Times Square no ano novo sob chuva de papel","O Senhor dos Anéis: O Retorno do Rei","Inventando estatísticas na hora","O anjo da guarda tá dormindo no sofá da sala."
"Fada madrinha","Carnaval do Rio no meio da bateria da escola de samba","Amélie Poulain","Falando como se estivesse num comercial","A lâmpada mágica só deu direito a um desejo fraco."
"Bruxa","Maracanã no minuto final da final da Copa do Mundo","Clube dos Cinco","Com medo de pisar nas linhas do chão","O centauro do parque tá fazendo cooper na pista."
"Lobisomem","Cristo Redentor sob a névoa","Curtindo a Vida Adoidado","Sempre achando que esqueceu o fogão ligado","A poção da juventude me transformou num bebê de fralda!"
"Cérbero","Teatro Amazonas no meio da floresta","Sociedade dos Poetas Mortos","Tirando fotos imaginárias de tudo","O troll da ponte tá pedindo pedágio em PIX."
"Dragão","Pelourinho em Salvador sob o som dos tambores","Gênio Indomável","Com hábito de concordar balançando a cabeça","A nuvem em cima da minha cabeça tá me seguindo."
"Gárgula","Cataratas do Iguaçu na garganta do diabo","O Show de Truman","Fazendo suspense antes de responder","Eu fui abduzido e eles me devolveram porque eu falo demais."
"Unicórnio","Fernando de Noronha na praia do Sancho","Brilho Eterno de uma Mente sem Lembranças","Dizendo 'e digo mais!' o tempo todo","O dragão do castelo tá com dor de garganta."
"Pégaso","Lençóis Maranhenses nas lagoas de chuva","A Origem","Dizendo 'complicado isso aí' em toda pausa","A minha sombra tá dançando balé nas costas."
"Múmia","Amazônia na copa das árvores gigantes","O Grande Hotel Budapeste","Chamando todo mundo de 'campeão'","Eu descobri que o mar é feito de suco de uva."
"Frankenstein","Pantanal com jacarés ao redor","Moonrise Kingdom","Usando termos de internet na vida real","O duende da sorte me deu um bilhete premiado falso."
"Drácula","Chapada dos Veadeiros no vale da lua","Whiplash: Em Busca da Perfeição","Aconselhando todos a beberem mais água","A minha varinha de condão virou um palito de picolé."
"Ciborgue","Cavernas de PETAR no escuro total","La Haine (O Ódio)","Perguntando o signo de todo mundo","O fantasma da biblioteca tá pedindo silêncio em código morse."
"Androide","Serra do Rio do Rastro nas curvas","Os Intocáveis","Que não consegue guardar um segredo por 5 segundos","Eu fui transformado num sapo e ninguém percebeu."
"Inteligência Artificial","Fila do bandejão universitário","Cinema Paradiso","Que fala alto achando que está sussurrando","A tempestade solar queimou o meu chip de memória."
"Viajante do tempo","Balcão de informações de aeroporto","A Vida É Bela","Que tenta dar abraço em desconhecidos","O leão covarde tá escondido atrás do sofá."
"Homem invisível","Vagão de trem bala a 300km/h","O Pianista","Que só responde com letras de música","Eu vi o homem invisível tropeçar no tapete."
"Telepatante","Cabine de trator na colheita","O Profissional (Léon)","Que acha que tudo é um teste surpresa","A poção de força me fez quebrar a maçaneta da porta."
"Mutante","Cabine de guindaste a 100 metros de altura","Bastardos Inglórios","Que fica procurando onde está o microfone","O ET de Varginha tá tomando café na cozinha."
"Homem-Elástico","Poço de petróleo no deserto","Django Livre","Que tenta achar defeito em tudo","A minha máquina do tempo só viaja dois minutos pro passado."
"Homem de Pedra","Restaurante giratório no topo de torre","Os Oito Odiados","Que elogia excessivamente coisas simples","O monstro do lago Ness tá de férias em Cabo Frio."
"Velocista","Quarto de motel temático","Kill Bill: Volume 1","Que faz drama quando perde um objeto","A fada madrinha errou o feitiço e me deu uma abóbora."
"Imperador intergaláctico","Sauna seca de clube tradicional","Kill Bill: Volume 2","Que acha que é o protagonista da cena","Eu descobri que as pirâmides são antenas de TV."
"Caçador de recompensas","Vestiário de academia após a aula","Cães de Aluguel","Que dá conselhos de relacionamentos sem nunca ter namorado","O lobisomem da rua tá com vergonha da lua cheia."
"Cão espacial","Lavanderia self-service","Scarface","Que inventa regras de etiquetas inexistentes","A minha mente tá recebendo sinais de rádio amador."
"Gato gigante","Lanchonete drive-thru no horário de pico","O Chefão II","Que acha que o ambiente é mal assombrado","O cavaleiro medieval tá tentando pagar a conta com moedas de ouro."
"Pé Grande","Fila de vacinação em posto","Os Bons Companheiros","Que tenta adivinhar o signo pelo formato do rosto","A princesa do castelo foi embora de bicicleta."
"Chupacabra","Estande de feira imobiliária","Cassino","Que vive achando moedas no chão","Eu vi um disco voador abastecer no posto de gasolina."
"Abominável Homem das Neves","Stand de degustação no mercado","O Irlandês","Que conta histórias de parentes distantes","O robô do futuro tá reclamando da umidade do ar."
"Kraken","Sessão espírita","Era Uma Vez em Hollywood","Que usa ditados populares errados","A pedra filosofal virou um paralelepípedo comum."
"Anjo da guarda","Terreiro de umbanda","Zack Snyder's Justice League","Que tenta resolver conflitos com abraços","Eu fui teletransportado pra dentro da geladeira!"
"Demônio","Templo budista no silêncio","Mulher-Maravilha","Que se emociona com comerciais de TV","O gênio da garrafa tá preso e não consegue sair."
"Poltergeist","Convento de freiras isolado","Aquaman","Que tem medo de bonecos de pelúcia","A minha sombra tá se recusando a me seguir no sol."
"Gênio da lâmpada","Mosteiro nas alturas da Grécia","Shazam!","Que fala com objetos inanimados","Eu conversei com um fantasma e ele é muito simpático."
"Fauno","Cemitério no dia de Finados","O Homem de Aço","Que tenta imitar barulhos de animais","A nave intergalática tá estacionada na vaga do síndico."
"Sátiro","Velório com seresta","Batman v Superman","Que faz suspense para revelar coisas banais","Eu comi o cogumelo mágico e o mundo ficou em 8-bits."
"Ciclope","Necrotério municipal","Guardiões da Galáxia Vol. 2","Que tem orgulho de coisas totalmente irrelevantes","O dragão cuspiu fogo e queimou a torrada de manhã."
"Gorgona","Praça de alimentação de shopping domingo","Vingadores: Era de Ultron","Que vive prometendo presentes que nunca entrega","A poção de invisibilidade só funciona quando ninguém tá olhando!"
"Leiloeiro","Fila do pronto-socorro na madrugada","Cidadão Kane","Deslumbrado","Você vai sair assim mesmo?"
"Taxidermista","Sala de espera de dentista","Janela Indiscreta","Encantado com tudo","Fecha essa geladeira que não tem nada novo aí dentro."
"Apicultor","Consultório de psicólogo em silêncio","Um Corpo que Cai","Boquiaberto","Eu não sou a sua empregada."
"Afinador de piano","Recepção de clínica veterinária lotada","Intriga Internacional","Aliviado demais","Quando eu tinha a sua idade eu já trabalhava."
"Luthier","Farmácia de manipulação","Os Pássaros","Constrangido","Tira esse sapato antes de entrar na sala."
"Calígrafo","Laboratório de análises clínicas às seis da manhã","A Felicidade Não se Compra","Envergonhado pelos outros","Come tudo que tem gente passando fome no mundo."
"Cartunista","Centro cirúrgico durante queda de energia","Cantando na Chuva","Entediado profundamente","Se você cair não venha chorar depois."
"Quadrinista","Ambulatório de campanha","E o Vento Levou","Apático","Só mais cinco minutos e você desliga isso."
"Operador de câmera","Posto de vacinação montado na escola","O Mágico de Óz","Resignado","Vai lavar essa mão que você mexeu no cachorro."
"Microfonista","Banco de sangue","Ben-Hur","Conformado com o destino","Não fala de boca cheia."
"Contrarregra","Sala de raio-x","Lawrence da Arábia","Inconformado","Senta direito nessa cadeira."
"Iluminador de palco","Corredor de hospital psiquiátrico","A Noviça Rebelde","Revoltado com o sistema","Leva um casaco que de madrugada esfria."
"Cenógrafo","Enfermaria de pediatria","Amadeus","Indignado","Deixa de manha e toma logo o remédio."
"Figurinista","Berçário à noite","Oito e Meio","Ofendido sem motivo","Isso aqui não é hotel nem restaurante."
"Dublê de ação","Sala de recuperação pós-anestesia","A Doce Vida","Magoado em silêncio","Quem foi que deixou a luz do banheiro acesa?"
"Topógrafo","Igreja no meio da missa de sétimo dia","Ladrões de Bicicleta","Ressentido","Eu já falei mil vezes para não bater a porta."
"Cartógrafo","Confessionário apertado","Rashomon","Rancoroso","A casa não se limpa sozinha."
"Sismólogo","Sacristia antes do casamento","Os Sete Samurais","Saudosista","Vai ver se eu estou na esquina."
"Vulcanólogo","Coro de igreja no alto","Trono Manchado de Sangue","Arrependido de tudo","Cuidado com o degrau que já tem gente que caiu."
"Entomologista","Batistério","Era uma Vez em Tóquio","Culpado sem crime","Leva o guarda-chuva que o céu está feio."
"Ornitólogo","Salão paroquial na quermesse","Andrei Rublev","Confuso o tempo todo","Você comeu alguma coisa hoje ou não?"
"Paleontólogo","Retiro espiritual no sítio","Stalker","Distraído demais","Você está muito magro precisa comer melhor."
"Epidemiologista","Acampamento de férias de igreja","Persona","Focado obsessivamente","Amarra esse cadarço antes de tropeçar."
"Radiologista","Sinagoga em dia de festa","O Sétimo Selo","Relaxado além da conta","Vai dormir que amanhã você tem compromisso."
"Anestesista","Mesquita na hora da oração","Morangos Silvestres","Cerimonioso","Já escovou os dentes direito?"
"Ortopedista","Templo hindu colorido","Acossado","Protocolar","Não corre dentro de casa."
"Cardiologista","Casa de chá japonesa","Os Incompreendidos","Burocrático","Larga esse celular na hora do almoço."
"Pediatra","Barracão de escola de samba","Amarcord","Íntimo demais com estranhos","Isso não é jeito de falar comigo."
"Geriatra","Ensaio técnico na avenida","Trainspotting","Reservado ao extremo","Por que você não liga mais para casa?"
"Parteira","Quadra da escola de samba na sexta","Réquiem para um Sonho","Espalhafatoso","Um dia você vai entender o que eu digo."
"Fonoaudiólogo","Concentração de bloco de rua","Seven os Sete Crimes Capitais","Contido","Guarda um pouco para o seu irmão."
"Terapeuta ocupacional","Ensaio de fanfarra de colégio","Zodíaco","Ponderado","Não pega no prato antes de todo mundo sentar."
"Protético dentário","Desfile cívico de sete de setembro","A Rede Social","Precavido","Quem quebrou é quem vai consertar."
"Ortodontista","Feira de artesanato de praça","Garota Exemplar","Displicente","Enquanto morar debaixo do meu teto vale a minha regra."
"Podólogo","Feira do rolo de trocas","Ilha do Medo","Meticuloso","Eu não perguntei quem começou eu mandei parar."
"Acupunturista","Camelódromo movimentado","O Aviador","Bagunceiro assumido","Se todo mundo pular da ponte você pula também?"
"Quiropraxista","Galeria de comércio popular","Gangues de Nova York","Pontual doentiamente","Espera o cabelo secar antes de sair."
"Farmacêutico de plantão","Loja de conveniência às três da manhã","O Lobo de Wall Street","Atrasado cronicamente","Não sai de barriga vazia."
"Técnico de laboratório","Açaiteria da esquina","Touro Indomável","Empolgado com qualquer coisa","Come a casca que é onde estão as vitaminas."
"Paramédico","Pastelaria de feira com caldo de cana","O Rei da Comédia","Difícil de impressionar","Bebe água que você não bebeu nada hoje."
"Brigadista de incêndio","Tapiocaria de beira de estrada","Depois de Horas","Fácil de convencer","Aproveita que ainda está quentinho."
"Guarda florestal","Food truck em evento","Um Sonho de Liberdade","Teimoso como uma mula","Não guarda toalha molhada em cima da cama."
"Fiscal de pesca","Quiosque de praia com guarda-sol","À Espera de um Milagre","Adorável e insuportável","Onde já se viu deixar a cama desarrumada?"
"Capitão de porto","Barraca de água de coco","Conta Comigo","Doce em excesso","Depois eu que sou a chata da história."
"Marinheiro de convés","Trailer de lanche na praça central","Náufrago","Amargo de nascença","Você só me procura quando precisa de alguma coisa."
"Timoneiro","Espetinho de calçada com fumaça","O Curioso Caso de Benjamin Button","Azedo pela manhã","Eu conheço você melhor do que você mesmo."
"Mergulhador industrial","Boteco com mesa de plástico na calçada","Cidade dos Anjos","Feliz da vida","Pode falar a verdade que eu não vou brigar."
"Soldador subaquático","Karaokê de bairro na quinta","Ghost do Outro Lado da Vida","Triste sem saber o motivo","Eu não estou brava eu estou decepcionada."
"Garimpeiro","Forró pé de serra em galpão","O Sexto Sentido","Ansioso pelo futuro","Depois não diga que eu não avisei."
"Ourives","Gafieira de salão antigo","Corpo Fechado","Preso ao passado","Traz um copo de água para mim já que você está de pé."
"Gemólogo","Choperia de rua fechada","Sinais","Vivendo o presente demais","Aproveita e leva o lixo na saída."
"Ferreiro","Hamburgueria artesanal cheia","A Vila","Otimista irritante","Passa um pano nisso antes que grude."
"Torneiro mecânico","Cafeteria com música baixa","A Chegada","Realista chato","Chegou a hora de desligar a televisão."
"Caldeireiro","Casa de sucos naturais","Contato","Fatalista","Esse barulho vai acordar a casa inteira."
"Montador de andaime","Sorveteria com fila na porta","Gravidade","Idealista sonhador","Fala baixo que o vizinho escuta tudo."
"Gesseiro","Confeitaria francesa","Perdido em Marte","Prático ao extremo","Não conta isso para ninguém da família."
"Azulejista","Buffet infantil com piscina de bolinhas","Ad Astra","Teórico demais","Pergunta se você pode antes de pegar."
"Marceneiro","Pizzaria rodízio no domingo","O Primeiro Homem","Filosófico na hora errada","Come sentado que em pé engasga."
"Carpinteiro de obra","Rodízio de comida japonesa","Apollo 13","Poético sem motivo","Sopra que está quente demais."
"Poceiro","Temakeria de shopping","Os Eleitos","Romântico antiquado","Guarda o resto que amanhã tem almoço pronto."
"Almoxarife","Restaurante por quilo no almoço","Contágio","Frio como geladeira","Não deixa a geladeira aberta pensando na vida."
"Conferente de carga","Marmitaria de bairro","Epidemia","Quente de temperamento","Depois de comer espera um pouco para entrar na água."
"Empilhadeirista","Cantina de escola no recreio","Guerra Mundial Z","Explosivo","Você vai sentir falta dessa comida quando morar longe."
"Caminhoneiro de longa distância","Cantina de faculdade na madrugada","Extermínio","Calmo de forma assustadora","Ninguém arruma nada nesta casa além de mim."
"Chapa de caminhão","Refeitório de fábrica no turno da noite","Madrugada dos Mortos","Sereno como monge","A sua roupa está no varal desde ontem."
"Cobrador de ônibus","Copa de escritório na hora do café","A Estrada","Agitado como criança","Vai tomar banho antes que a água acabe."
"Maquinista de trem","Cozinha industrial de food service","Filhos da Esperança","Elétrico","Não durma de cabelo molhado."
"Agente de estação","Padaria com cheiro de pão saindo do forno","Expresso do Amanhã","Lento como tartaruga","Você já agradeceu?"
"Controlador de voo","Depósito de bebidas","O Poço","Rápido no gatilho","Cumprimenta as pessoas quando chegar."
"Mecânico de aeronave","Distribuidora de gás","Cube","Indeciso crônico","Olha nos olhos quando falar comigo."
"Agente de rampa","Ferro-velho com carros empilhados","Free Guy","Decidido demais","Não responda a sua mãe."
"Camareira de hotel","Desmanche de peças","Jogador Número 1","Autoconfiante sem base","Isso é falta de mão firme."
"Concierge de hotel","Loja de autopeças","Tron","Inseguro com tudo","Eu que criei você então eu sei."
"Mensageiro de hotel","Concessionária de motos","Jogos de Guerra","Humilde de verdade","Toma esse chá que resolve tudo."
"Governanta","Pátio de veículos apreendidos","Hackers","Arrogante disfarçado","Passa um pouco de sal grosso nisso."
"Mordomo","Estacionamento de shopping no Natal","Ex Machina","Modesto falso","Benze essa criança que ela está com mau-olhado."
"Babá","Garagem de ônibus urbano","Ela","Vaidoso escondido","Você está pálido está doente?"
"Cuidador de idosos","Oficina de bicicletas","Eu Sou a Lenda","Generoso até doer","Deixa que eu faço mais rápido."
"Professor particular","Bicicletário de estação","O Quinto Elemento","Sovina com trocado","Você aprendeu isso com quem?"
"Bedel de faculdade","Ciclovia na hora do rush","Impacto Profundo","Desprendido","Um dia você vai ter um filho igual a você."
"Coordenador pedagógico","Passarela sobre a avenida","Armagedom","Apegado a objetos","Muito obrigado pela sua paciência comigo."
"Intérprete de libras","Viaduto embaixo da chuva","O Dia Depois de Amanhã","Nostálgico de coisas recentes","Foi um prazer imenso conhecer você."
"Revisor de texto","Túnel com eco","Twister","Curioso sem limite","Fique à vontade e sinta-se em casa."
"Diagramador","Rodovia interditada por acidente","Poseidon","Fofoqueiro de plantão","Desculpe o incômodo mas eu preciso da sua ajuda."
"Editor de livros","Praça de pedágio","Inferno na Torre","Discreto com segredos","Bom dia como você passou a noite?"
"Livreiro","Balança de fiscalização de caminhões","A Sociedade da Neve","Bocudo","Você aceita um cafezinho?"
"Arquivista","Ponto de apoio de caminhoneiros","127 Horas","Calado demais","Leve um pedaço de bolo para o caminho."
"Museólogo","Motel de beira de estrada","Everest","Falante sem freio","Estimo as suas melhoras."
"Restaurador de obras","Hostel com beliches","Invictus","Sincerão sem filtro","Meus sentimentos pela sua perda."
"Curador de exposição","Pousada de família na serra","Coach Carter","Diplomático demais","Parabéns pela conquista você mereceu muito."
"Galerista","Camping com barracas coladas","De Porta em Porta","Neutro em tudo","Conte comigo para o que precisar."
"Leiloeiro de arte","Chalé de madeira na montanha","Um Sonho Possível","Radical em bobagens","Não se preocupe que eu resolvo isso."
"Perfumista","Cabana de pescador na beira do rio","Rocky Balboa","Moderado por medo","Perdão se eu falei demais."
"Chapeleiro artesanal","Rancho de beira de represa","Creed","Corajoso na hora errada","Você está muito bem hoje."
"Alfaiate","Casa de veraneio fechada há meses","O Lutador","Covarde na hora certa","Seja bem-vindo à nossa humilde casa."
"Modelista de moda","Apartamento recém-mudado cheio de caixas","Ali","Heroico sem preparo","Fique com o troco por favor."
"Bordadeira","Kitnet minúscula","Amor Sublime Amor","Vilanesco por hobby","Sente-se que eu já trago um copo de água."
"Rendeira","República de estudantes","O Rei do Show","Justiceiro de calçada","Faça uma boa viagem e avise quando chegar."
"Ceramista","Alojamento de obra","Chicago","Bonzinho até demais","Descanse bem e volte quando quiser."
"Oleiro","Vila de pescadores","Moulin Rouge","Que não para de piscar","Foi um prazer trabalhar com você."
"Tecelã","Bairro em dia de mutirão","Os Miseráveis o Musical","Que anda em zigue-zague","Agradeço de coração pela oportunidade."
"Soprador de vidro","Rua sem saída com bola de futebol","Mamma Mia","Que se apoia em tudo","Fico à disposição para qualquer dúvida."
"Marisqueira","Campinho de várzea","Nos Tempos da Brilhantina","Que mexe no cabelo sem parar","Desculpe a demora em responder."
"Pescador de tarrafa","Arquibancada de campo de várzea","Footloose","Que estala os dedos toda hora","Espero não estar atrapalhando."
"Barqueiro de travessia","Vestiário de time amador","Flashdance","Que bate o pé sem perceber","Posso ajudar com alguma coisa?"
"Balseiro","Piscina de clube em dia de sol","Vamos Dançar","Que roda a aliança no dedo","Deixa que eu carrego isso para você."
"Carroceiro","Salão de jogos de clube","Encontros e Desencontros","Que morde o lábio quando mente","Passa na frente que eu espero."
"Charreteiro","Churrasqueira coletiva de clube","Antes do Amanhecer","Que puxa a manga da camisa","Escolhe primeiro que eu fico com o que sobrar."
"Domador de cavalos","Quiosque de clube com música alta","Antes do Pôr do Sol","Que cheira tudo antes de tocar","Você merece coisa muito melhor."
"Ferrador de cavalos","Pista de dança de clube antigo","Antes da Meia-Noite","Que limpa os óculos a cada frase","Estou torcendo por você de verdade."
"Tosador de cães","Bailinho de colégio","Simplesmente Amor","Que ajeita a postura de repente","Se precisar de mim é só chamar a qualquer hora."
"Adestrador de cães","Formatura do jardim de infância","Um Lugar Chamado Notting Hill","Que dá pulinhos ao falar","Obrigado por ter esperado tanto tempo."
"Falcoeiro","Feira de profissões de escola","Quatro Casamentos e Um Funeral","Que anda em câmera lenta","Aceito o seu convite com muito prazer."
"Tratador de zoológico","Sala de aula na prova final","O Diário de Bridget Jones","Que congela no meio da frase","Vou guardar essa lembrança com carinho."
"Biólogo marinho","Sala dos professores no intervalo","Uma Linda Mulher","Que faz reverência a todo mundo","Que Deus acompanhe você nessa jornada."
"Guarda-parque","Diretoria de escola em dia de convocação","Sintonia de Amor","Que aperta a mão duas vezes","Boa sorte e que dê tudo certo."
"Agrônomo","Biblioteca de escola empoeirada","Mensagem para Você","Que abraça de lado","Fico feliz em ver você bem."
"Enólogo","Laboratório de informática com máquinas velhas","Harry e Sally Feitos um para o Outro","Que cumprimenta com o cotovelo","Faça bom proveito da refeição."
"Cafeicultor","Quadra coberta na aula de educação física","Como Perder um Homem em 10 Dias","Que fala olhando para o teto","Perdoe o transtorno e tenha uma boa noite."
"Queijeiro artesanal","Refeitório escolar na hora da merenda","O Casamento do Meu Melhor Amigo","Que fala olhando para o chão","Não precisa agradecer é o mínimo."
"Charcuteiro","Ônibus escolar lotado","O Diabo Veste Prada","Que fala virado de costas","Se eu puder ajudar de novo é só falar."
"Confeiteiro","Excursão escolar em museu","Legalmente Loira","Que fala perto demais do rosto","Agradeço pela confiança depositada."
"Chocolatier","Auditório de escola em apresentação","Um Amor para Recordar","Que fala longe demais para ouvir","Vamos manter contato de qualquer forma."
"Sorveteiro","Sala de música com instrumentos desafinados","Diário de uma Paixão","Que aponta o dedo para tudo","Que a sua semana seja mais leve."
"Doceiro de festa","Ateliê de pintura com cheiro de tinta","Querido John","Que conta nos dedos toda vez","Sinta-se abraçado por mim."
"Salgadeira","Estúdio de dança com espelhos","O Terminal","Que desenha no ar o que fala","Volte sempre que quiser."
"Quitandeira","Sala de ensaio de banda com isolamento","Prenda-me Se For Capaz","Que faz aspas com as mãos sem parar","Ficou tudo do jeito que você queria?"
"Verdureiro","Estúdio de fotografia com fundo infinito","Minority Report","Que cutuca o ombro do outro","Espero que você tenha gostado."
"Peixeiro","Set de filmagem com refletores quentes","Inteligência Artificial","Que dá tapinhas nas costas","Perdão pelo mal-entendido de ontem."
"Açougueiro","Ilha de edição de vídeo","Munique","Que puxa a cadeira toda hora","Reconheço que a culpa foi minha."
"Forneiro de pizzaria","Sala de dublagem com microfone","Cavalo de Guerra","Que senta e levanta sem motivo","Você tem toda razão e eu peço desculpas."
"Maitre de restaurante","Cabine de tradução simultânea","A Ponte do Rio Kwai","Que anda em círculos enquanto pensa","Vamos resolver isso da melhor forma."
"Hostess de restaurante","Redação de jornal fechando a edição","Fuga para a Vitória","Que balança a perna sem parar","Prefiro ouvir você antes de opinar."
"Lavador de louças","Gráfica com rotativa ligada","O Grande Ditador","Que assobia entre as frases","Fico honrado com o seu convite."
"Auxiliar de cozinha","Encadernadora de livros","Tempos Modernos","Que canta o final das frases","A casa é sua pode ficar o tempo que precisar."
"Chef confeiteiro executivo","Depósito de papel reciclado","Luzes da Cidade","Que sussurra a última palavra","Aceita mais um pouco por favor."
"Provador de café","Escritório de arquitetura com maquetes","O Garoto","Que grita a primeira palavra","Não vá embora sem comer alguma coisa."
"Provador de chá","Canteiro de obras na laje","Estômago","Que repete tudo duas vezes","Guardei esse lugar especialmente para você."
"Mestre cervejeiro","Andaime no décimo andar","O Homem que Virou Suco","Que soletra as palavras difíceis","Você foi muito gentil comigo hoje."
"Alambiqueiro","Elevador de obra subindo","Eles Não Usam Black-Tie","Que erra o nome de todo mundo","Espero encontrar você outra vez em breve."
"Cortador de cana","Central de concreto","Cabra Marcado para Morrer","Que chama todo mundo de amigo","Quem tem boca vai a Roma."
"Colhedor de café","Pedreira com explosão programada","Ônibus 174","Que trata todos por doutor","Água mole em pedra dura tanto bate até que fura."
"Extrativista de castanha","Serraria com serra circular","Notícias de uma Guerra Particular","Que usa apelido para tudo","De grão em grão a galinha enche o papo."
"Seringueiro","Marcenaria com cheiro de verniz","Edifício Master","Que fala de si na terceira pessoa","Cavalo dado não se olham os dentes."
"Salineiro","Fábrica de tecidos com teares","Santiago","Que faz perguntas e responde sozinho","Filho de peixe peixinho é."
"Calceteiro de rua","Confecção com máquinas de costura","O Prisioneiro da Grade de Ferro","Que interrompe sempre no meio","Casa de ferreiro espeto de pau."
"Restaurador de móveis","Estamparia de camisetas","Última Parada 174","Que demora demais para responder","Quem espera sempre alcança."
"Serralheiro artístico","Curtume com cheiro forte","Cidade Baixa","Que responde antes da pergunta acabar","Antes só do que mal acompanhado."
"Instalador de antenas","Fábrica de calçados","O Invasor","Que fala e depois se corrige","A pressa é inimiga da perfeição."
"Cabista de fibra óptica","Linha de montagem de eletrônicos","Contra Todos","Que ri antes de contar a piada","Mais vale um pássaro na mão do que dois voando."
"Superman","Sala limpa de semicondutores","O Céu de Suely","Que explica a própria piada","Quem com ferro fere com ferro será ferido."
"Mulher-Maravilha","Data center barulhento","Baixio das Bestas","Que conta piada velha com orgulho","O barato sai caro no fim das contas."
"Flash","Central de monitoramento de energia","Praia do Futuro","Que faz trocadilho com tudo","Nem tudo que reluz é ouro."
"Aquaman","Subestação elétrica","O Som ao Redor","Que rima sem querer","Em terra de cego quem tem um olho é rei."
"Arlequina","Torre de transmissão no morro","Os Famosos e os Duendes da Morte","Que usa palavras difíceis de forma errada","Um dia é da caça e outro é do caçador."
"Pinguim de Gotham","Parque eólico com hélices girando","Trabalhar Cansa","Que fala tudo no diminutivo","Quem ri por último ri melhor."
"Charada","Usina solar no meio do sertão","As Boas Maneiras","Que fala tudo no aumentativo","Deus ajuda quem cedo madruga."
"Espantalho de Gotham","Barragem de rejeitos","A Nuvem Rosa","Que exagera todos os números","Não adianta chorar sobre o leite derramado."
"Lex Luthor","Estação de bombeamento de água","Medida Provisória","Que arredonda tudo para mais","Roupa suja se lava em casa."
"Lanterna Verde","Caixa d'água do prédio","Deserto Particular","Que diminui tudo por modéstia","Quem não tem cão caça com gato."
"Robin","Poço artesiano","Sete Prisioneiros","Que compara tudo com o interior","Diga-me com quem andas que eu direi quem és."
"Alfred o mordomo","Cisterna no quintal","O Grande Circo Místico","Que compara tudo com novela","Quem semeia vento colhe tempestade."
"Homem-Formiga","Rede de esgoto com eco","Meu Nome é Gal","Que compara tudo com futebol","Onde há fumaça há fogo."
"Thanos","Bueiro aberto na rua","Bohemian Rhapsody","Que compara tudo com comida","A união faz a força."
"Gavião Arqueiro","Galeria pluvial durante o temporal","Rocketman","Que cita a avó em toda frase","O seguro morreu de velho."
"Feiticeira Escarlate","Estação meteorológica isolada","Nasce uma Estrela","Que cita a sogra em toda frase","Cada macaco no seu galho."
