Personagem,Localizacao,Filme / Livro,Adjetivo / Característica,Frase
"Espião","Coliseu de Roma em dia de combate","Os Banshees de Inisherin","Fazendo pausa dramática a cada frase","Eu virei uma estátua de cera por dez segundos!"
"Agente secreto","Arena de gladiadores em Roma","Drive My Car","Com gargalhada alta e escandalosa","O unicórnio do estacionamento tá ocupando duas vagas."
"Vigilante","Partenon na Grécia Antiga","Parasita","Piscando um olho só sem querer","A minha sombra foi embora e me deixou sozinho."
"Técnico de TV","Muralha da China sob ataque","Roma","Que não aguenta ver poeira","Eu descobri que o sol é uma lâmpada gigante de LED."
"Entregador de gás","Taj Mahal ao pôr do sol","Green Book: O Guia","Que quer arrumar a roupa dos outros","O alquimista transformou o meu carro em plástico!"
"Vendedor de pamonha","Estátua da Liberdade dentro da tocha","A Forma da Água","Com hábito de estalar o pescoço","A bruxa do condomínio rogou uma praga no elevador."
"Vendedor de churros","Torre Eiffel no topo da antena","Moonlight: Sob a Luz do Luar","Sempre oferecendo conselho não solicitado","Eu viajei pra outra dimensão e voltei de pantufa."
"Vampiro","Big Ben dentro das engrenagens do relógio","La La Land: Cantando Estações","Sempre olhando no relógio","O robô da cozinha tá exigindo direitos trabalhistas."
"Fantasma","Canais de Veneza em um passeio de gôndola","Spotlight: Segredos Revelados","Perguntando o significado de tudo","A múmia do museu se levantou pra pedir água."
"Alienígena","Catedral de Notre Dame no campanário do Corcunda","Birdman","Segurando o riso com a mão na boca","Eu encontrei um ovni caído no meio da horta."
"Super-herói","Palácio de Versalhes no Salão dos Espelhos","12 Anos de Escravidão","Imitando o sotaque de quem fala","A minha mente tá conectada na rádio FM local."
"Robô","Kremlin em Moscou na neve","Argo","Olhando pros lados com desconfiança","O ciclope da rua de baixo tá precisando de colírio."
"Monstro","Casa Branca no Salão Oval","O Artista","Sempre checando o bolso","A fonte dos desejos tá devolvendo as moedas."
"Zumbi","Pentágono na sala de inteligência","O Discurso do Rei","Ajustando o óculos a cada fala","Eu fui picado por uma aranha radioativa de mentira."
"Lutador de sumô","Área 51 no galpão dos alienígenas","Guerra ao Terror","Dando risadinha no final de cada frase","O feitiço do amor deu errado e o cachorro me ama."
"ET","CERN no Acelerador de Partículas","Quem Quer Ser um Milionário?","Dizendo que já sabia de tudo","A nave espacial tá pousando no teto do supermercado."
"Papai Noel","Nasa na sala de lançamento de foguetes","Onde os Fracos Não Têm Vez","Tentando adivinhar o final das frases dos outros","Eu conversei com o meu eu do futuro e ele tá falido."
"Sereia","Vale do Silício na garagem da primeira Apple","Os Infiltrados","Acreditando em qualquer mentira contada","O elfo da floresta tá cobrando pedágio na calçada."
"Cozinheiro","Hollywood na calçada da fama","Crash: No Limite","Fazendo sinal de joia pra tudo","A minha planta carnívora tá pedindo cafuné."
"Duende","Las Vegas na avenida dos cassinos à noite","Menina de Ouro","Sempre oferecendo ajuda desajeitada","Eu caí num looping temporal e tô repetindo essa frase."
"Gnomo","Times Square no ano novo sob chuva de papel","O Senhor dos Anéis: O Retorno do Rei","Inventando estatísticas na hora","O anjo da guarda tá dormindo no sofá da sala."
"Fada madrinha","Carnaval do Rio no meio da bateria da escola de samba","Amélie Poulain","Falando como se estivesse num comercial","A lâmpada mágica só deu direito a um desejo fraco."
"Bruxa","Maracanã no minuto final da final da Copa do Mundo","Clube dos Cinco","Com medo de pisar nas linhas do chão","O centauro do parque tá fazendo cooper na pista."
"Lobisomem","Cristo Redentor sob a névoa","Curtindo a Vida Adoidado","Sempre achando que esqueceu o fogão ligado","A poção da juventude me transformou num bebê de fralda!"
"Cérbero","Teatro Amazonas no meio da floresta","Sociedade dos Poetas Mortos","Tirando fotos imaginárias de tudo","O troll da ponte tá pedindo pedágio em PIX."
"Dragão","Pelourinho em Salvador sob o som dos tambores","Gênio Indomável","Com hábito de concordar balançando a cabeça","A nuvem em cima da minha cabeça tá me seguindo."
"Gárgula","Cataratas do Iguaçu na garganta do diabo","O Show de Truman","Fazendo suspense antes de responder","Eu fui abduzido e eles me devolveram porque eu falo demais."
"Unicórnio","Fernando de Noronha na praia do Sancho","Brilho Eterno de uma Mente sem Lembranças","Dizendo 'e digo mais!' o tempo todo","O dragão do castelo tá com dor de garganta."
"Pégaso","Lençóis Maranhenses nas lagoas de chuva","A Origem","Dizendo 'complicado isso aí' em toda pausa","A minha sombra tá dançando balé nas costas."
"Múmia","Amazônia na copa das árvores gigantes","O Grande Hotel Budapeste","Chamando todo mundo de 'campeão'","Eu descobri que o mar é feito de suco de uva."
"Frankenstein","Pantanal com jacarés ao redor","Moonrise Kingdom","Usando termos de internet na vida real","O duende da sorte me deu um bilhete premiado falso."
"Drácula","Chapada dos Veadeiros no vale da lua","Whiplash: Em Busca da Perfeição","Aconselhando todos a beberem mais água","A minha varinha de condão virou um palito de picolé."
"Ciborgue","Cavernas de PETAR no escuro total","La Haine (O Ódio)","Perguntando o signo de todo mundo","O fantasma da biblioteca tá pedindo silêncio em código morse."
"Androide","Serra do Rio do Rastro nas curvas","Os Intocáveis","Que não consegue guardar um segredo por 5 segundos","Eu fui transformado num sapo e ninguém percebeu."
"Inteligência Artificial","Fila do bandejão universitário","Cinema Paradiso","Que fala alto achando que está sussurrando","A tempestade solar queimou o meu chip de memória."
"Viajante do tempo","Balcão de informações de aeroporto","A Vida É Bela","Que tenta dar abraço em desconhecidos","O leão covarde tá escondido atrás do sofá."
"Homem invisível","Vagão de trem bala a 300km/h","O Pianista","Que só responde com letras de música","Eu vi o homem invisível tropeçar no tapete."
"Telepatante","Cabine de trator na colheita","O Profissional (Léon)","Que acha que tudo é um teste surpresa","A poção de força me fez quebrar a maçaneta da porta."
"Mutante","Cabine de guindaste a 100 metros de altura","Bastardos Inglórios","Que fica procurando onde está o microfone","O ET de Varginha tá tomando café na cozinha."
"Homem-Elástico","Poço de petróleo no deserto","Django Livre","Que tenta achar defeito em tudo","A minha máquina do tempo só viaja dois minutos pro passado."
"Homem de Pedra","Restaurante giratório no topo de torre","Os Oito Odiados","Que elogia excessivamente coisas simples","O monstro do lago Ness tá de férias em Cabo Frio."
"Velocista","Quarto de motel temático","Kill Bill: Volume 1","Que faz drama quando perde um objeto","A fada madrinha errou o feitiço e me deu uma abóbora."
"Imperador intergaláctico","Sauna seca de clube tradicional","Kill Bill: Volume 2","Que acha que é o protagonista da cena","Eu descobri que as pirâmides são antenas de TV."
"Caçador de recompensas","Vestiário de academia após a aula","Cães de Aluguel","Que dá conselhos de relacionamentos sem nunca ter namorado","O lobisomem da rua tá com vergonha da lua cheia."
"Cão espacial","Lavanderia self-service","Scarface","Que inventa regras de etiquetas inexistentes","A minha mente tá recebendo sinais de rádio amador."
"Gato gigante","Lanchonete drive-thru no horário de pico","O Chefão II","Que acha que o ambiente é mal assombrado","O cavaleiro medieval tá tentando pagar a conta com moedas de ouro."
"Pé Grande","Fila de vacinação em posto","Os Bons Companheiros","Que tenta adivinhar o signo pelo formato do rosto","A princesa do castelo foi embora de bicicleta."
"Chupacabra","Estande de feira imobiliária","Cassino","Que vive achando moedas no chão","Eu vi um disco voador abastecer no posto de gasolina."
"Abominável Homem das Neves","Stand de degustação no mercado","O Irlandês","Que conta histórias de parentes distantes","O robô do futuro tá reclamando da umidade do ar."
"Kraken","Sessão espírita","Era Uma Vez em Hollywood","Que usa ditados populares errados","A pedra filosofal virou um paralelepípedo comum."
"Anjo da guarda","Terreiro de umbanda","Zack Snyder's Justice League","Que tenta resolver conflitos com abraços","Eu fui teletransportado pra dentro da geladeira!"
"Demônio","Templo budista no silêncio","Mulher-Maravilha","Que se emociona com comerciais de TV","O gênio da garrafa tá preso e não consegue sair."
"Poltergeist","Convento de freiras isolado","Aquaman","Que tem medo de bonecos de pelúcia","A minha sombra tá se recusando a me seguir no sol."
"Gênio da lâmpada","Mosteiro nas alturas da Grécia","Shazam!","Que fala com objetos inanimados","Eu conversei com um fantasma e ele é muito simpático."
"Fauno","Cemitério no dia de Finados","O Homem de Aço","Que tenta imitar barulhos de animais","A nave intergalática tá estacionada na vaga do síndico."
"Sátiro","Velório com seresta","Batman v Superman","Que faz suspense para revelar coisas banais","Eu comi o cogumelo mágico e o mundo ficou em 8-bits."
"Ciclope","Necrotério municipal","Guardiões da Galáxia Vol. 2","Que tem orgulho de coisas totalmente irrelevantes","O dragão cuspiu fogo e queimou a torrada de manhã."
"Gorgona","Praça de alimentação de shopping domingo","Vingadores: Era de Ultron","Que vive prometendo presentes que nunca entrega","A poção de invisibilidade só funciona quando ninguém tá olhando!"
